data_path,label
data/Aerial_Landscapes/Airport/740.jpg,Airport
data/Aerial_Landscapes/Highway/588.jpg,Highway
data/Aerial_Landscapes/City/073.jpg,City
data/Aerial_Landscapes/Port/374.jpg,Port
data/Aerial_Landscapes/Railway/733.jpg,Railway
data/Aerial_Landscapes/Lake/714.jpg,Lake
data/Aerial_Landscapes/Mountain/608.jpg,Mountain
data/Aerial_Landscapes/Residential/524.jpg,Residential
data/Aerial_Landscapes/River/264.jpg,River
data/Aerial_Landscapes/Beach/579.jpg,Beach
data/Aerial_Landscapes/River/484.jpg,River
data/Aerial_Landscapes/Residential/479.jpg,Residential
data/Aerial_Landscapes/Desert/690.jpg,Desert
data/Aerial_Landscapes/Port/709.jpg,Port
data/Aerial_Landscapes/Lake/666.jpg,Lake
data/Aerial_Landscapes/Railway/162.jpg,Railway
data/Aerial_Landscapes/Agriculture/013.jpg,Agriculture
data/Aerial_Landscapes/Airport/396.jpg,Airport
data/Aerial_Landscapes/Beach/212.jpg,Beach
data/Aerial_Landscapes/Agriculture/394.jpg,Agriculture
data/Aerial_Landscapes/Port/214.jpg,Port
data/Aerial_Landscapes/Port/602.jpg,Port
data/Aerial_Landscapes/Railway/755.jpg,Railway
data/Aerial_Landscapes/Grassland/305.jpg,Grassland
data/Aerial_Landscapes/Parking/718.jpg,Parking
data/Aerial_Landscapes/Beach/146.jpg,Beach
data/Aerial_Landscapes/Railway/311.jpg,Railway
data/Aerial_Landscapes/Airport/442.jpg,Airport
data/Aerial_Landscapes/Residential/719.jpg,Residential
data/Aerial_Landscapes/Agriculture/043.jpg,Agriculture
data/Aerial_Landscapes/Residential/299.jpg,Residential
data/Aerial_Landscapes/City/537.jpg,City
data/Aerial_Landscapes/Forest/699.jpg,Forest
data/Aerial_Landscapes/Railway/532.jpg,Railway
data/Aerial_Landscapes/Grassland/217.jpg,Grassland
data/Aerial_Landscapes/Railway/167.jpg,Railway
data/Aerial_Landscapes/Grassland/091.jpg,Grassland
data/Aerial_Landscapes/Forest/651.jpg,Forest
data/Aerial_Landscapes/Desert/377.jpg,Desert
data/Aerial_Landscapes/Lake/003.jpg,Lake
data/Aerial_Landscapes/Mountain/617.jpg,Mountain
data/Aerial_Landscapes/Lake/047.jpg,Lake
data/Aerial_Landscapes/Airport/777.jpg,Airport
data/Aerial_Landscapes/Agriculture/512.jpg,Agriculture
data/Aerial_Landscapes/Port/199.jpg,Port
data/Aerial_Landscapes/River/414.jpg,River
data/Aerial_Landscapes/Forest/759.jpg,Forest
data/Aerial_Landscapes/City/002.jpg,City
data/Aerial_Landscapes/Railway/450.jpg,Railway
data/Aerial_Landscapes/City/694.jpg,City
data/Aerial_Landscapes/Agriculture/031.jpg,Agriculture
data/Aerial_Landscapes/River/025.jpg,River
data/Aerial_Landscapes/Grassland/718.jpg,Grassland
data/Aerial_Landscapes/Port/256.jpg,Port
data/Aerial_Landscapes/Beach/721.jpg,Beach
data/Aerial_Landscapes/River/143.jpg,River
data/Aerial_Landscapes/Beach/587.jpg,Beach
data/Aerial_Landscapes/Mountain/213.jpg,Mountain
data/Aerial_Landscapes/Beach/133.jpg,Beach
data/Aerial_Landscapes/Highway/716.jpg,Highway
data/Aerial_Landscapes/Port/667.jpg,Port
data/Aerial_Landscapes/Port/493.jpg,Port
data/Aerial_Landscapes/Port/616.jpg,Port
data/Aerial_Landscapes/Lake/057.jpg,Lake
